{'action_bound': 1,
 'action_dim': 1,
 'actor_l1': 400,
 'actor_l2': 300,
 'actor_lr': 0.0001,
 'actor_rnn': 20,
 'buffer_size': 1000000,
 'critic_l1': 400,
 'critic_l2': 300,
 'critic_lr': 0.001,
 'critic_rnn': 20,
 'discretization_time': 0.001,
 'gamma': 0.99,
 'load_model': False,
 'max_episode_len': 1200,
 'max_episodes': 500,
 'mini_batch_size': 1000,
 'noise_var': 0.0925,
 'random_seed': 1754,
 'save_model': True,
 'scaling': True,
 'state_dim': 2,
 'summary_dir': '/afs/crc.nd.edu/user/k/kkosaraj/GITHUB_REP_DCBF/my_scripts/test_name=dcbf_2/gamma=0.99/time_steps=2',
 'tau': 0.001,
 'time_steps': 2,
 'use_gpu': True}
(array([0.02971586, 0.02961047], dtype=float32), array([ 19.491829, 199.30959 ], dtype=float32))
| Reward: -88.1815 | Episode: 83 | Qmax: 585.5964
| Reward: -48.0090 | Episode: 84 | Qmax: 585.6383
| Reward: -88.1112 | Episode: 85 | Qmax: 586.0969
| Reward: -39.2558 | Episode: 86 | Qmax: 583.7660
| Reward: -123.2677 | Episode: 87 | Qmax: 572.1833
| Reward: -33.4868 | Episode: 88 | Qmax: 572.4949
| Reward: -230.9604 | Episode: 89 | Qmax: 572.9805
| Reward: -398.2998 | Episode: 90 | Qmax: 570.9071
| Reward: -7123.3598 | Episode: 91 | Qmax: 560.3670
| Reward: -22235.6447 | Episode: 92 | Qmax: 563.5310
| Reward: -22717.7450 | Episode: 93 | Qmax: 554.7569
| Reward: -16242.8540 | Episode: 94 | Qmax: 541.9854
| Reward: -43.0655 | Episode: 95 | Qmax: 532.9134
| Reward: -138.9865 | Episode: 96 | Qmax: 529.4245
| Reward: -7742.9098 | Episode: 97 | Qmax: 519.1252
| Reward: -2226.7386 | Episode: 98 | Qmax: 519.8386
| Reward: -3052.0972 | Episode: 99 | Qmax: 515.2969
| Reward: -5728.4198 | Episode: 100 | Qmax: 502.4258
| Reward: -326.4125 | Episode: 101 | Qmax: 495.2672
| Reward: -290.3759 | Episode: 102 | Qmax: 487.3029
| Reward: -332.7024 | Episode: 103 | Qmax: 478.3072
| Reward: -66.8901 | Episode: 104 | Qmax: 471.2880
| Reward: -219.3972 | Episode: 105 | Qmax: 461.3785
| Reward: -21.4474 | Episode: 106 | Qmax: 458.8110
| Reward: -27.1242 | Episode: 107 | Qmax: 451.0328
| Reward: -694308.2591 | Episode: 108 | Qmax: 464.6222
| Reward: -608.7328 | Episode: 109 | Qmax: 455.2350
| Reward: -104.7131 | Episode: 110 | Qmax: 447.5863
| Reward: -18.3565 | Episode: 111 | Qmax: 435.2982
| Reward: -50.4494 | Episode: 112 | Qmax: 422.4536
| Reward: -360.0523 | Episode: 113 | Qmax: 412.1558
| Reward: -41.4728 | Episode: 114 | Qmax: 399.0863
| Reward: -135.1271 | Episode: 115 | Qmax: 387.3698
| Reward: -113.7098 | Episode: 116 | Qmax: 376.8237
| Reward: -13.4521 | Episode: 117 | Qmax: 368.3184
| Reward: -53.3288 | Episode: 118 | Qmax: 362.2512
| Reward: -16.4115 | Episode: 119 | Qmax: 357.1174
| Reward: -16.3697 | Episode: 120 | Qmax: 352.5293
| Reward: -23.5175 | Episode: 121 | Qmax: 345.1838
| Reward: -44.9713 | Episode: 122 | Qmax: 339.4529
| Reward: -21.0737 | Episode: 123 | Qmax: 331.6111
| Reward: -157.0280 | Episode: 124 | Qmax: 329.0281
| Reward: -448.1975 | Episode: 125 | Qmax: 321.3604
| Reward: -23.6334 | Episode: 126 | Qmax: 316.9803
| Reward: -34.8871 | Episode: 127 | Qmax: 316.5808
| Reward: -36.9980 | Episode: 128 | Qmax: 317.2310
| Reward: -6.6000 | Episode: 129 | Qmax: 316.5560
| Reward: -98.6985 | Episode: 130 | Qmax: 312.8386
| Reward: -182.3427 | Episode: 131 | Qmax: 312.4961
| Reward: -23.8124 | Episode: 132 | Qmax: 311.2870
| Reward: -25.0407 | Episode: 133 | Qmax: 308.1509
| Reward: -200.7379 | Episode: 134 | Qmax: 305.9554
| Reward: -135.7463 | Episode: 135 | Qmax: 308.1287
| Reward: -13.6036 | Episode: 136 | Qmax: 309.2092
| Reward: -176.4128 | Episode: 137 | Qmax: 311.0276
| Reward: -30.0606 | Episode: 138 | Qmax: 314.5641
| Reward: -125.4190 | Episode: 139 | Qmax: 310.8541
| Reward: -22.3075 | Episode: 140 | Qmax: 305.0875
| Reward: -20.7784 | Episode: 141 | Qmax: 296.0598
| Reward: -66.6128 | Episode: 142 | Qmax: 297.7122
| Reward: -428.0667 | Episode: 143 | Qmax: 291.3411
| Reward: -39.8660 | Episode: 144 | Qmax: 284.1044
| Reward: -77.7982 | Episode: 145 | Qmax: 270.5589
| Reward: -33.9053 | Episode: 146 | Qmax: 261.7586
| Reward: -23.2338 | Episode: 147 | Qmax: 253.6523
